Step;Time;SiteA_SiteOccupation;SiteB_SiteOccupation;SiteC_SiteOccupation
0;0.0;0.0;0.0;0.0
1;1.867998136335705e-09;0.0025;0.0;0.0
2;2.627124332509821e-09;0.005;0.0;0.0
3;2.6584175512196832e-09;0.0075;0.0;0.0
4;4.1018843448500716e-09;0.01;0.0;0.0
5;4.711593157357805e-09;0.0125;0.0;0.0
6;5.4608152374885374e-09;0.015;0.0;0.0
7;5.723814192269599e-09;0.0175;0.0;0.0
8;5.964833352626346e-09;0.02;0.0;0.0
9;6.0289831756335084e-09;0.0225;0.0;0.0
10;7.0398388359136514e-09;0.025;0.0;0.0
11;7.832196018731756e-09;0.0275;0.0;0.0
12;1.0063086951836827e-08;0.03;0.0;0.0
13;1.0249842555353526e-08;0.0325;0.0;0.0
14;1.0602746061479103e-08;0.035;0.0;0.0
15;1.0873208764440445e-08;0.0375;0.0;0.0
16;1.1582151786102619e-08;0.04;0.0;0.0
17;1.1861259853824619e-08;0.0425;0.0;0.0
18;1.1883850984939684e-08;0.045;0.0;0.0
19;1.1958417235865649e-08;0.0475;0.0;0.0
20;1.2087392326092106e-08;0.05;0.0;0.0
