Simulation_name,Step,Time_(s),sps/tps,CO_adsorption_tof_data,CO_desorption_tof_data,CO_adsorption_tof_integ,CO_desorption_tof_integ,CO_simple_cubic_hollow,empty_simple_cubic_hollow
MyFirstSnapshots,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0
MyFirstSnapshots,10,3.791937587039263e-09,10,6592935.518097477,0.0,8752677.75134479,412397.40794595465,0.025,0.975
MyFirstSnapshots,20,6.207475200239411e-09,10,10349662.892178915,0.0,8554643.834280748,1529684.1399129,0.05,0.95
MyFirstSnapshots,30,8.485320647387863e-09,10,8780226.95746862,2195056.739367155,8326138.522519231,2818887.3067246806,0.065,0.935
MyFirstSnapshots,40,1.086564599792154e-08,10,7351936.152793749,3150829.7797687496,8216574.910977887,3437033.790399732,0.075,0.925
MyFirstSnapshots,50,1.1907822498249199e-08,10,16791781.425217357,7196477.75366458,8124307.586679186,3957596.4231110434,0.085,0.915
MyFirstSnapshots,60,1.3859156832741162e-08,10,6405873.037259101,6405873.037259101,8125829.599768421,3949009.383801432,0.085,0.915
MyFirstSnapshots,70,1.5464567517543656e-08,10,7786169.681272438,7786169.681272438,8082970.245557675,4190817.395834351,0.085,0.915
MyFirstSnapshots,80,1.7523743951082547e-08,10,9712620.868347885,2428155.2170869713,8055608.026875689,4345192.183465651,0.1,0.9
MyFirstSnapshots,90,1.922107027850749e-08,10,7364523.720647205,7364523.720647205,7927254.06310818,5069351.877112609,0.1,0.9
MyFirstSnapshots,100,2.1491014036017702e-08,10,5506744.366966443,5506744.366966443,7921692.010819929,5100732.396754291,0.1,0.9
